clock: 106  -  mnemonic: BNE  -  opcode: 0xd0  -  A: 0x1b  -  X: 0x03  -  Y: 0x01  -  Status: 0x20  -  Stack pointer: 0xfd  -  Program counter: 0x8015
clock: 109  -  mnemonic: ADC  -  opcode: 0x6d  -  A: 0x1b  -  X: 0x03  -  Y: 0x01  -  Status: 0x20  -  Stack pointer: 0xfd  -  Program counter: 0x8011
clock: 113  -  mnemonic: DEY  -  opcode: 0x88  -  A: 0x1e  -  X: 0x03  -  Y: 0x01  -  Status: 0x22  -  Stack pointer: 0xfd  -  Program counter: 0x8014
clock: 115  -  mnemonic: BNE  -  opcode: 0xd0  -  A: 0x1e  -  X: 0x03  -  Y: 0x00  -  Status: 0x22  -  Stack pointer: 0xfd  -  Program counter: 0x8015
clock: 117  -  mnemonic: STA  -  opcode: 0x8d  -  A: 0x1e  -  X: 0x03  -  Y: 0x00  -  Status: 0x22  -  Stack pointer: 0xfd  -  Program counter: 0x8017
clock: 121  -  mnemonic: NOP  -  opcode: 0xea  -  A: 0x1e  -  X: 0x03  -  Y: 0x00  -  Status: 0x22  -  Stack pointer: 0xfd  -  Program counter: 0x801a
clock: 123  -  mnemonic: NOP  -  opcode: 0xea  -  A: 0x1e  -  X: 0x03  -  Y: 0x00  -  Status: 0x22  -  Stack pointer: 0xfd  -  Program counter: 0x801b
clock: 125  -  mnemonic: NOP  -  opcode: 0xea  -  A: 0x1e  -  X: 0x03  -  Y: 0x00  -  Status: 0x22  -  Stack pointer: 0xfd  -  Program counter: 0x801c
clock: 127  -  mnemonic: BRK  -  opcode: 0x0  -  A: 0x1e  -  X: 0x03  -  Y: 0x00  -  Status: 0x22  -  Stack pointer: 0xfd  -  Program counter: 0x801d
clock: 134  -  mnemonic: ASL  -  opcode: 0xa  -  A: 0x1e  -  X: 0x03  -  Y: 0x00  -  Status: 0x26  -  Stack pointer: 0xfa  -  Program counter: 0x0001
clock: 136  -  mnemonic: ???  -  opcode: 0x3  -  A: 0x3c  -  X: 0x03  -  Y: 0x00  -  Status: 0x24  -  Stack pointer: 0xfa  -  Program counter: 0x0002
